created_at,text,public_metrics
2024-11-07 08:43:39+00:00,"RT @HaniIsSoBlocked: At least the myth of POC is finally dead 
Black people and Black Women specifically we ain’t got no one but us and hon…","{'retweet_count': 58, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}"
2024-11-07 08:42:53+00:00,"RT @Natalia0gaming: Black Myth Wukong Giveaway 💫

Last chance 🤞

To Enter : 

1) Follow Me &amp; 
2) Like + Rt ✅
3) Comment you're platform  💫…","{'retweet_count': 241, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}"
2024-11-07 08:42:51+00:00,"RT @HisenseMalaysia: The Hisense U7 Mini LED TV is the Perfect Companion for Black Myth: Wukong. Immerse yourself in stunning visuals, vibr…","{'retweet_count': 2273, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}"
2024-11-07 08:42:30+00:00,"RT @haneame_cos: I designed the spider outfit :))
Black Myth: Wukong 4th Spider Sister cosplay
Photoset on🔻 https://t.co/7fUEa65T9P
＿＿＿＿＿＿＿…","{'retweet_count': 1872, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}"
2024-11-07 08:42:00+00:00,"Wukong - Black Myth

MIN REQ.:
Processor: Core i5-8400 / Ryzen 5 1600
DVM: 4gb
RAM: 16gb
Size: 130gb
OS: Windows 10 64-bit

₦24,000
Free Games Attached: Assassin’s Creed Valhalla , Far Cry 6

You can get it on our website or send a DM for home delivery
https://t.co/69dJBKzji6","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 1}"
2024-11-07 08:40:08+00:00,"RT @HisenseThailand: เล่น Black Myth : Wukong ได้อย่างสมบูรณ์แบบด้วย เต็มขั้นไปกับจอ 100"" ประสบการณ์ที่คุณไม่ควรพลาด
#Hisensethailand #Hise…","{'retweet_count': 2046, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}"
2024-11-07 08:39:52+00:00,"RT @HaniIsSoBlocked: At least the myth of POC is finally dead 
Black people and Black Women specifically we ain’t got no one but us and hon…","{'retweet_count': 58, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}"
2024-11-07 08:38:38+00:00,"RT @Natalia0gaming: Black Myth Wukong Giveaway 💫

Last chance 🤞

To Enter : 

1) Follow Me &amp; 
2) Like + Rt ✅
3) Comment you're platform  💫…","{'retweet_count': 241, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}"
2024-11-07 08:38:05+00:00,"プレイした中だと
・ 『ASTRO BOT』
・『黒神話：悟空（Black Myth: Wukong）』
・『FINAL FANTASY VII REBIRTH』
・『HELLDIVERS 2』
・『メタファー：リファンタジオ』

どれも良かったけどアストロボットかFF7かメタファーが個人的に最高体験だったなぁ☺️ https://t.co/kWtIrE5fYA","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 27}"
2024-11-07 08:36:44+00:00,"RT @HisenseThailand: เล่น Black Myth : Wukong ได้อย่างสมบูรณ์แบบด้วย เต็มขั้นไปกับจอ 100"" ประสบการณ์ที่คุณไม่ควรพลาด
#Hisensethailand #Hise…","{'retweet_count': 2046, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'bookmark_count': 0, 'impression_count': 0}"
